OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
549,0,32,97ed1e3d-934f-4c3b-bb32-490b5ea1184f,0,8,24,64,BOSTON TURNPIKE,GRAFTON STREET,SR9 EB,N3595,BOSTON TURNPIKE,GRAFTON STREET,SR9 EB,N3595,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,SHREWSBURY,3,{72899F9A-732C-4058-BFA9-2FF0192745A5},,,,,261.144427, ,Y,CMRPC,261.144436
550,0,38,69fac2b2-5cad-459e-9bed-7da350768d91,0,5,33,58,MAIN STREET,POST OFFICE ROAD,SR28 NB,L132852,MAIN STREET,WALKER STREET,SR28 NB,N3476,CAPE COD COMMISSION,FALMOUTH,5,{9E698898-E648-4350-B8BE-026BD9FC78BF},,,,,578.425143, ,Y,CCC,578.425113
551,0,11,dfe975d8-44ad-4156-ba42-6e036138ee89,0,5,6,31,LANCASTER STREET,ELM HILL AVENUE,SR117 EB,N4005,LANCASTER STREET,ELM HILL AVENUE,SR117 EB,N4005,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{CE2A3EC1-F831-4554-82B2-74B5C8DD43B3},,,,,156.880328, ,Y,MRPC,156.880358
552,0,15,c348d131-39bb-4373-821f-2ee937895e3d,0,8,7,47,HATHAWAY ROAD,ROCKDALE AVENUE, ,N5290,HATHAWAY ROAD,ROCKDALE AVENUE, ,N5290,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{83DD3394-DC89-4D3A-B6F5-33D07E0A2C5C},,,,,184.025816, ,Y,SRPEDD,184.025785
553,0,62,9c8c8ab8-2c73-4e1f-aa4f-23d843f92755,0,6,56,86,SOUTH MAIN STREET,MORGAN STREET,N5419,L202112,SOUTH MAIN STREET,COLUMBIA STREET,N5419,N5417,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{6AFC7C74-F728-43BC-80A1-80A32206EF27},,,,,579.152673, ,Y,SRPEDD,579.15243
554,0,47,e00287a4-f296-4c00-bd3f-f85ef14b76c7,0,15,32,107,ROUTE 2,JACKSON ROAD,SR2 EB,L195705,ROUTE 2,JACKSON ROAD,SR2 EB,L195705,MONTACHUSETT REGIONAL PLANNING COMMISSION,LANCASTER,3,{8651ECBB-5BB0-4455-A093-25CD4A7FBB45},,,,,209.539072,"N, HIGHWAY",Y,MRPC,209.539166
555,0,29,88af04b2-e63f-473a-a2b6-438f52629c78,0,8,21,61,WEST CENTER STREET, ,SR106 EB, ,WEST CENTER STREET, ,SR106 EB, ,OLD COLONY PLANNING COUNCIL,WEST BRIDGEWATER,5,{5A6565D8-0398-4A3D-9CF1-899930438203},,,,,384.000736, ,Y,OCPC,384.000624
556,0,32,e6c7dda4-07ca-4159-9632-677f4b844e9a,0,9,23,68,BOSTON POST ROAD BYPASS,BOSTON POST ROAD,US20 EB,N13821 WB,BOSTON POST ROAD BYPASS,BOSTON POST ROAD,US20 EB,N13821 WB,METROPOLITAN AREA PLANNING COUNCIL,WESTON,6,{326A7F26-5E2A-48DF-A18E-DCE631197CE1},,,,,162.987494, ,Y,MAPC,162.987528
557,0,27,7acc5947-d133-44d8-80b8-92e4938e8a91,0,9,18,63,MAPLE STREET,CABOT STREET,N025,N4911,MAPLE STREET,CABOT STREET,N025,N4911,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{2E20FA6B-B421-408E-A30D-5B978E2F5351},,,,,165.20624, ,Y,PVPC,165.206185
558,0,26,7ddc81cd-b210-4d8a-ad92-acbe30083436,0,5,21,46,ROGERS STREET,PHOENIX AVENUE,SR38 NB,L162389,ROGERS STREET,DOUGLAS ROAD,SR38 NB,N4528,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{92AC8915-A0CB-4DC7-A43F-D5498AE6B533},,,,,158.233069, ,Y,NMCOG,158.233088
559,0,14,ba95564a-b2b4-445a-ab69-b120914138e3,0,5,9,34,ADAMS STREET,PLEASANT STREET,L139985,N4115,PLEASANT STREET,ADAMS STREET,N4115,L139985,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{CE2C1823-EFAC-44A3-80ED-E228A44602E1},,,,,169.139411, ,Y,MRPC,169.139372
560,0,20,e1a25bb8-1bda-4765-90e1-f29c1780ed7c,1,9,10,65,NORTH QUINCY STREET,BOUNDARY AVENUE,N4594,N4696,NORTH QUINCY STREET,BOUNDARY AVENUE,N4594,N4696,OLD COLONY PLANNING COUNCIL,"BROCKTON,ABINGTON",5,{A21983FD-7A1D-4158-B3DA-84481D440828},,,,,191.037585, ,Y,OCPC,191.037607
561,0,13,4f4a4df2-5b8e-42c1-a234-e54ecd7135df,0,7,6,41,COLUMBIA ROAD,QUINCY STREET,N1610,N1607,COLUMBIA ROAD,QUINCY STREET,N1610,N1607,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{7C2A8E54-3D16-48BE-9985-8A3A6B125F22},,,,,171.957482, ,Y,MAPC,171.957428
562,0,58,3176974a-adb2-46c6-b052-4c0c21014c6a,0,7,51,86,YANKEE DIVISION HIGHWAY,RAMP-RT 95 SB TO RT 16/GROVE ST,I95 NB,R12597,YANKEE DIVISION HIGHWAY,INTERSTATE 95 NB CD ROAD,I95 NB,R12586,METROPOLITAN AREA PLANNING COUNCIL,NEWTON,6,{BB18E02D-4112-40A2-B498-BBACA8288B23},,,,,204.751191, ,Y,MAPC,204.751185
563,0,12,8361968e-a80c-4f77-a5ad-465066d8c26f,0,9,3,48,HATHAWAY ROAD, , , ,HATHAWAY ROAD, , , ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{6076A0B3-C5F0-4A70-B0CD-D756CE2E873E},,,,,175.945502, ,Y,SRPEDD,175.945504
564,0,102,a44aae5c-f66e-428d-912f-b6fb1f8f4701,1,30,71,231,NEWPORT AVENUE,INTERSTATE 95,SR1A NB,I95 NB,INTERSTATE 95,NEWPORT AVENUE,I95 NB,SR1A NB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,ATTLEBORO,5,{76CBEBF4-EE1D-4BE3-BA5E-05356B149D26},,,,,303.193153,"N, HIGHWAY",Y,SRPEDD,303.193108
565,0,77,75765fb4-777d-4dc8-a9b7-111021f6c139,1,19,57,162,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO WASHINGTON ST,I95 NB,R12662,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO WASHINGTON ST,I95 NB,R12662,METROPOLITAN AREA PLANNING COUNCIL,WOBURN,4,{2C72AB19-6535-4E2C-9C9C-77F68B535B02},,,,,232.933458,"N, RAMP",Y,MAPC,232.933501
566,0,55,3a48f006-27c1-4cf1-b6bb-e78792d10a05,0,7,48,83,JOHN FITCH HIGHWAY, ,N3986, ,JOHN FITCH HIGHWAY, ,N3986, ,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{FE6CF903-3351-418B-9631-916A95A667C0},,,,,211.753062, ,Y,MRPC,211.753087
567,0,14,6c16eb38-3b23-460e-9847-626e332ae3cd,0,9,5,50,PLAINFIELD STREET,LOWELL STREET,N5071,L175782,PLAINFIELD STREET,LOWELL STREET,N5071,L175782,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{12237B5D-A83C-48F3-BEB1-8043F967C9CB},,,,,203.673408, ,Y,PVPC,203.673457
568,0,12,8454c67f-51bd-470d-b440-6b0f4948dc05,1,4,7,37,CHEAPSIDE STREET,GREENFIELD ROAD,N3853,US5 NB,CHEAPSIDE STREET,GREENFIELD ROAD,N3853,US5 NB,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,GREENFIELD,2,{7CF16484-B47E-4EDA-80A4-DEAD51C31CF2},,,,,156.880239, ,Y,FRCOG,156.880337
569,0,21,07ba16d2-9f80-4cef-afde-d1d536bbd395,0,8,13,53,NORTH BEDFORD STREET,HIGHLAND STREET,SR18 NB,N4713,NORTH BEDFORD STREET,HIGHLAND STREET,SR18 NB,N4713,OLD COLONY PLANNING COUNCIL,EAST BRIDGEWATER,5,{A032D2EB-5559-4A3A-9F1C-FD355E983E08},,,,,156.880317, ,Y,OCPC,156.880307
570,0,55,ed2b8fc3-d430-46c2-9660-ff28cb9e674c,0,8,47,87,MAIN STREET,BROAD STREET,SR62 EB,N1365 NB,MAIN STREET,BROAD STREET,SR62 EB,N1365 NB,METROPOLITAN AREA PLANNING COUNCIL,HUDSON,3,{4E4C4AF7-E785-491C-986D-8F6B4D47B0B3},,,,,596.477283, ,Y,MAPC,596.477127
571,0,23,6a231b78-e7f7-4547-9cfe-2d78026158a8,0,6,17,47,ANDOVER STREET,BROOKSBY VILLAGE WAY,SR114 EB,L229456,ANDOVER STREET,BROOKSBY VILLAGE WAY,SR114 EB,L229456,METROPOLITAN AREA PLANNING COUNCIL,DANVERS,4,{D3A18437-93FE-4B89-9A99-04ADA0F53E24},,,,,156.880458, ,Y,MAPC,156.880407
572,0,17,68a82a98-81cb-435e-8a58-112088fc120c,0,12,5,65,PILGRIM HIGHWAY,RAMP-RT 3 SB TO RT 18 NB,SR3 NB,R22039,PILGRIM HIGHWAY,RAMP-RT 3 SB TO RT 18 NB,SR3 NB,R22039,METROPOLITAN AREA PLANNING COUNCIL,WEYMOUTH,6,{DED37F79-0ECF-4693-ACAD-B30193CFBC7F},,,,,156.880394, ,Y,MAPC,156.88034
573,0,13,2dc646da-0fb8-48c7-b72e-ac6d9792a0d7,0,7,6,41,POWDER HOUSE SQUARE,POWDER HOUSE BOULEVARD,N1446,N1447,POWDER HOUSE SQUARE,POWDER HOUSE BOULEVARD,N1446,N1447,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{ACF369ED-CD89-4000-A893-17D05E449BF6},,,,,156.880337, ,Y,MAPC,156.880344
574,0,18,0c389085-4e4a-4bce-ae83-ad2d5901821e,0,6,12,42,ROUTE 2,RAMP-RT 2 WB TO FORT POND RD (SHIRLEY RD),SR2 WB,R21569,ROUTE 2,RAMP-RT 2 WB TO FORT POND RD (SHIRLEY RD),SR2 WB,R21569,MONTACHUSETT REGIONAL PLANNING COMMISSION,LANCASTER,3,{CC8C62FC-8691-4BB5-9446-E0232AA2A566},,,,,156.880271, ,Y,MRPC,156.88031
575,0,28,b415b5a6-5333-41bb-b1ab-4f426e38655b,0,4,24,44,ANDOVER STREET, ,SR114 EB, ,ANDOVER STREET, ,SR114 EB, ,METROPOLITAN AREA PLANNING COUNCIL,"PEABODY,DANVERS",4,{413F98C7-83EA-4369-A7DA-BC753CBBE711},,,,,184.067837, ,Y,MAPC,184.067837
576,0,31,8a7d9e3f-d14e-4fa7-821e-91e04393eeaa,0,6,25,55,INTERSTATE 495,RAMP-RT 495 NB TO RT 4,I495 NB,R13120,INTERSTATE 495,RAMP-RT 495 NB TO RT 4,I495 NB,R13120,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,CHELMSFORD,4,{11801D1F-873F-4D38-889B-9EE329EB7D25},,,,,156.880411, ,Y,NMCOG,156.880337
577,0,65,f70df161-2433-47f1-a860-2dafa914f4f0,0,18,47,137,SOUTH WASHINGTON STREET,INTERSTATE 295,US1 NB,I295 NB,INTERSTATE 295,SOUTH WASHINGTON STREET,I295 NB,US1 NB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NORTH ATTLEBOROUGH,5,{6A8A6BED-77AC-47BA-8DA4-9C3C1656219C},,,,,302.393105,"N, HIGHWAY",Y,SRPEDD,302.393134
578,0,23,9223672d-72da-4142-bd61-cc9c1e879c9d,0,7,16,51,INTERSTATE 290,RAMP-SOUTHBRIDGE ST SB TO RT 290,I290 EB, ,INTERSTATE 290,RAMP-SOUTHBRIDGE ST SB TO RT 290,I290 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{217E381D-A0A0-4E17-A432-DC2A462A00FF},,,,,156.880475, ,Y,CMRPC,156.88037
579,0,16,f42e8be0-1446-4ed8-9767-ad7b43436092,0,4,12,32,MAIN STREET,EXCHANGE STREET,SR2A EB,N3958,MAIN STREET,EXCHANGE STREET,SR2A EB,N3958,MONTACHUSETT REGIONAL PLANNING COMMISSION,ATHOL,2,{7995C91E-9BB3-48B7-8E14-BBABFFEB3892},,,,,164.42424, ,Y,MRPC,164.424229
580,0,25,0ffa7cd2-e347-41be-a004-33da1a5f72e5,0,6,19,49,CONGRESS STREET,SPRUCE STREET,N1717,N2853,CONGRESS STREET,SPRUCE STREET,N1717,N2853,METROPOLITAN AREA PLANNING COUNCIL,MILFORD,3,{EC345ACD-8B5C-4B86-92F8-9A3336B59A3A},,,,,193.927178, ,Y,MAPC,193.927185
581,0,22,40048a22-fed0-4937-96cb-b8a73998ad4d,0,5,17,42,COUNTY STREET,RAMP-RT 140 SB TO RT 79,SR140 SB,R26027,COUNTY STREET,RAMP-RT 140 SB TO RT 79,SR140 SB,R26027,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,TAUNTON,5,{B410FEE3-791E-4F9C-89E5-194DFF4720AE},,,,,167.20469, ,Y,SRPEDD,167.20471
582,0,18,278a1023-dbd2-40ea-8d81-6a0b41833093,0,6,12,42,RAMP-RT 495 NB TO RT 213 WB,RAMP-RT 213 EB TO RT 495 NB,R13182,R27509,RAMP-RT 495 NB TO RT 213 WB,RAMP-RT 213 EB TO RT 495 NB,R13182,R27509,MERRIMACK VALLEY PLANNING COMMISSION,METHUEN,4,{8B812E54-AAEE-4510-BFCB-44DB0B2CD518},,,,,208.646665, ,Y,MVPC,208.646619
583,0,12,e6e4fb9d-d797-45b5-a238-173839f407a2,0,6,6,36,NORTH STREET,HIGH SCHOOL ROAD EXTENSION,N3405,N307,HIGH SCHOOL ROAD EXTENSION,NORTH STREET,N307,N3405,CAPE COD COMMISSION,BARNSTABLE,5,{ED0BB24A-EFAC-49F5-B74C-2D91AFFC5BC6},,,,,178.242532, ,Y,CCC,178.24257
584,0,62,e7ac5550-ba2e-4a0b-9be4-74b2b51bdaf7,0,20,42,142,WORCESTER ROAD,RAMP-RT 9 WB TO CROSSING BLVD,SR9 EB,L184136,WORCESTER ROAD,RAMP-RT 9 WB TO CROSSING BLVD,SR9 EB,L184136,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{A49B624A-3AD5-4423-8754-96130EA91736},,,,,331.650292,Y,Y,MAPC,331.650348
585,0,22,0d782e86-d2f2-4707-bc6b-b6d184756998,0,6,16,46,ELM STREET,CHESTNUT STREET,N5459,N5641,ELM STREET,CHESTNUT STREET,N5459,N5641,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NORTH ATTLEBOROUGH,5,{EB15AAC9-4B0E-4FF7-A228-BA90664847B7},,,,,156.880453, ,Y,SRPEDD,156.88037
586,0,32,b8141e7e-5303-45dd-9544-e08c887f68ed,0,4,28,48,MIDDLESEX ROAD,FARWELL ROAD,N4442,L127452,MIDDLESEX ROAD,LOCUST AVENUE,N4442,N4452,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,TYNGSBOROUGH,4,{15DA213C-8B4A-41AC-ADA4-255EBB668C42},,,,,171.126477, ,Y,NMCOG,171.126522
587,0,35,8c3fb8fa-d020-4347-9dca-7b706868c5cb,0,6,29,59, ,ALEWIFE BROOK-CONCORD AVE ROTARY,B1,N08501 EB,ALEWIFE BROOK-CONCORD AVE ROTARY,ALEWIFE BROOK PARKWAY,N08501 EB,US3 SB,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{C46EB848-DEB9-4F30-AE9E-AD4D5D7E693D},,,,,270.907604, ,Y,MAPC,270.907657
588,0,16,83d9d357-84f1-4ef3-863f-1ee58becc26c,0,10,6,56,SUMNER AVENUE,POMONA STREET,N017 NB,L148132,SUMNER AVENUE,POMONA STREET,N017 NB,L148132,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{0C1B1488-6E85-4943-8A8F-17AB93DADB6D},,,,,331.201119, ,Y,PVPC,331.201121
589,0,33,deda5022-8443-4d68-b478-f832052c13db,0,8,25,65,REVERE BEACH PARKWAY,NORTH SHORE ROAD,SR145 NB,N1316 NB,REVERE BEACH PARKWAY,NORTH SHORE ROAD,SR145 NB,N1316 NB,METROPOLITAN AREA PLANNING COUNCIL,REVERE,4,{AB70E038-CAEF-4254-B2D4-EA5D6B026027},,,,,258.732022, ,Y,MAPC,258.731937
590,0,74,e045e012-e60b-4d43-a8ea-24d6d21f36db,0,29,45,190,INTERSTATE 93,RAMP-RT 93 SB TO GRANITE ST (RT 37),I93 SB,R12018,INTERSTATE 93,RAMP-RT 93 SB TO GRANITE ST (RT 37),I93 SB,R12018,METROPOLITAN AREA PLANNING COUNCIL,BRAINTREE,6,{EBE2A7B6-467A-4301-856A-D5D4DA6504E7},,,,,168.907494,"N, HIGHWAY",Y,MAPC,168.90753
591,0,16,c545dbce-dcad-483e-8a1a-ae6e21bff556,0,7,9,44,MAIN STREET,WINCHESTER AVENUE,SR9 EB,L172331,MAIN STREET,WINCHESTER AVENUE,SR9 EB,L172331,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{FAF40B2D-696F-49E5-BAD5-44FAF9105938},,,,,281.117481, ,Y,CMRPC,281.117363
592,0,23,2aeaf0ee-e7ed-486f-9038-007a892480e6,0,13,10,75,INTERSTATE 195,RAMP-RT 88 NB TO RT 195 WB,I195 WB,R14069,INTERSTATE 195,RAMP-RT 88 NB TO RT 195 WB,I195 WB,R14069,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WESTPORT,5,{4522F3AA-E62D-42C2-BE79-707C6DA5ACA4},,,,,156.880287, ,Y,SRPEDD,156.880344
593,0,42,27058ab9-289d-4202-a913-a405290f9d33,0,9,33,78,CHELMSFORD STREET,LIBERTY STREET,SR110 EB,N4511,CHELMSFORD STREET,LIBERTY STREET,SR110 EB,N4511,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{CD7EAC1C-7B57-4274-974D-B93B9176D1A1},,,,,231.157779, ,Y,NMCOG,231.157735
594,0,39,2e38dcc9-aa5f-48ba-810b-cc6605ae710d,0,10,29,79,INTERSTATE 495,RAMP-RT 495 SB TO WOBURN ST,I495 SB,R13238,INTERSTATE 495,RAMP-RT 495 SB TO WOBURN ST,I495 SB,R13238,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{484A4BE8-76FA-4F2D-8D57-EDF03A37E834},,,,,156.880266, ,Y,NMCOG,156.880328
595,0,15,a740489e-618d-46f3-9932-6cec58b730d1,0,4,11,31,MECHANIC STREET,LEOMINSTER CONNECTOR,N4006,N4006,MECHANIC STREET,LEOMINSTER CONNECTOR,N4006,N4006,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{AB6F26F6-7ACF-456E-AAA3-7EE9EE723BCA},,,,,156.880345, ,Y,MRPC,156.880307
596,0,14,06fa3040-4b91-4c8a-a4e0-f294da111af7,0,7,7,42,MAIN STREET,MAPLE STREET,SR28 NB,N2112,MAIN STREET,MAPLE STREET,SR28 NB,N2112,METROPOLITAN AREA PLANNING COUNCIL,STONEHAM,4,{0DB7D32F-A4DB-4A89-A1D5-B2AF007D0FBA},,,,,243.526574, ,Y,MAPC,243.526553
597,0,34,3cca1d09-0985-4bf5-bb78-615e964544d4,0,9,25,70,MASSACHUSETTS AVENUE, ,US3 NB,L040266 NB,MASSACHUSETTS AVENUE,ALEWIFE BROOK PARKWAY,US3 NB,US3 NB,METROPOLITAN AREA PLANNING COUNCIL,"CAMBRIDGE,ARLINGTON","6,4",{0477CCA7-B1EE-42AE-ADC1-E0742228687C},,,,,252.700352, ,Y,MAPC,252.700349
598,0,17,749d945b-308b-42e6-b049-28a39727eb7a,0,8,9,49,BUCK ISLAND ROAD,HIGGINS CROWELL ROAD,N3226,N3228,BUCK ISLAND ROAD,HIGGINS CROWELL ROAD,N3226,N3228,CAPE COD COMMISSION,YARMOUTH,5,{B3B82494-F306-4FD9-8D79-0C10774EC2B5},,,,,156.880274, ,Y,CCC,156.880277
599,0,33,10ccad05-d6bc-43ee-b0ae-fd6b9220ec27,0,9,24,69,BURNCOAT STREET,MILLBROOK STREET,N3592,N3593,BURNCOAT STREET,MILLBROOK STREET,N3592,N3593,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{6B3BA4C7-D269-4FA9-B267-ADE2E6ADDE8A},,,,,342.657521, ,Y,CMRPC,342.657513
600,0,16,947effdb-6d7c-4c7d-ae3b-ddd56882b715,0,9,7,52,OAK STREET,UNION STREET,N4871,N5089,OAK STREET,UNION STREET,N4871,N5089,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{D9B4E175-1839-48E5-A72D-2882E3F8FE44},,,,,197.153337, ,Y,PVPC,197.15333
601,0,19,f2986f35-b6d8-468d-bac0-4536930adc6a,0,3,16,31,LAUREL STREET,PUTNAM STREET,SR2A EB,N3978,LAUREL STREET,PUTNAM STREET,SR2A EB,N3978,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{2A53794B-7B06-40F7-90B6-FEEFFA30A9D9},,,,,296.30028, ,Y,MRPC,296.300181
602,0,35,ebe681ad-3d37-4e85-9d90-305dc5f81ea7,1,21,13,128,BERKSHIRE AVENUE,COTTAGE STREET,N4923,N4924,BERKSHIRE AVENUE,COTTAGE STREET,N4923,N4924,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{912F41F4-BB46-41F2-9A93-400109267279},,,,,156.880196,Y,Y,PVPC,156.880277
603,0,11,ccd80208-eb99-4464-9695-7e0a55727370,0,5,6,31,ROTARY CIRCLE,RAMP-RTS 2/2A TO RT 91 SB,SR2 EB,R15564,ROTARY CIRCLE,RAMP-RTS 2/2A TO RT 91 SB,SR2 EB,R15564,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,GREENFIELD,2,{4495A137-235E-40AF-8351-1DC617854248},,,,,156.880341, ,Y,FRCOG,156.880374
604,0,14,7842dac5-b939-4339-af7e-0837587255a8,0,6,8,38,ROUTE 28,RAMP-RT 28 SB TO RT 151,SR28 SB,R28401,ROUTE 28,RAMP-RT 28 SB TO RT 151,SR28 SB,R28401,CAPE COD COMMISSION,FALMOUTH,5,{2EC29795-A792-4F76-96B8-01EB796CE713},,,,,215.317333, ,Y,CCC,215.317342
605,0,17,5b5bae59-79aa-42b3-b4fc-58147ff5036c,0,7,10,45,INTERSTATE 190,ARARAT STREET,I190 NB,N3588,INTERSTATE 190,ARARAT STREET,I190 NB,N3588,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{12E02519-383D-4450-B81C-71BB93875703},,,,,189.468301, ,Y,CMRPC,189.468224
606,0,12,a268ef73-053f-44cd-b1c3-19f703f28ea0,0,3,9,24,CRANE AVENUE CONNECTOR,DALTON AVENUE,L126301,N002 EB,DALTON AVENUE,CRANE AVENUE CONNECTOR,N002 EB,L126301,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{597855FC-A420-4A8A-8B5C-ADC456338240},,,,,199.515806, ,Y,BRPC,199.515847
607,0,147,573d75d2-b0c1-4fb9-a576-732ea0aad04b,0,31,116,271,PLYMOUTH AVENUE,RODMAN STREET,SR81 NB,N5417,PLYMOUTH AVENUE,RODMAN STREET,SR81 NB,N5417,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{024013C6-0E12-43E4-A7D8-8C6CB5956EA4},,,,,456.366984,Y,Y,SRPEDD,456.366923
608,0,32,92f25c06-2743-441d-8122-0618bcf8bf69,0,8,24,64,WESTGATE DRIVE, ,L138582, ,WESTGATE DRIVE, ,L138582, ,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{CBFE21C8-2F81-4857-B202-1B461A4B4C31},,,,,156.880344, ,Y,OCPC,156.88031
609,0,28,fcc964e3-8abf-4642-8a77-038cf6224ae4,0,7,21,56,BROADWAY,CARTER ROAD,SR129 EB,L187231,BROADWAY,CARTER ROAD,SR129 EB,L187231,METROPOLITAN AREA PLANNING COUNCIL,LYNN,4,{290599FE-0ABB-49B8-9635-52BC09C0C0F2},,,,,370.617356, ,Y,MAPC,370.617293
610,0,16,c74fc469-2b43-4839-932a-30bad7b248f0,0,7,9,44,MOUNT PLEASANT STREET,JONES STREET,N5364,L178526,MOUNT PLEASANT STREET,KINGS HIGHWAY,N5364, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{5B784A51-0A74-42CB-A374-A02C2A7D74AB},,,,,177.283619, ,Y,SRPEDD,177.283669
611,0,42,5441c149-7301-4368-b870-e7b283ac879e,1,8,33,83,CAMBRIDGE STREET,SOUTHBRIDGE STREET, , ,CAMBRIDGE STREET,SOUTHBRIDGE STREET, , ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{899412D3-D1EB-4213-B730-0026B529272A},,,,,185.48235, ,Y,CMRPC,185.482327
612,0,27,66da1b82-39c8-4360-a2fc-4e76fd2db1f7,0,5,22,47,INTERSTATE 91,RAMP-RT 91 SB TO BIRNIE AVE,I91 NB,R15594,INTERSTATE 91,RAMP-RT 91 SB TO BIRNIE AVE,I91 NB,R15594,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{1F8C91E6-133A-4FF8-B068-28917A401CB7},,,,,203.178292, ,Y,PVPC,203.178351
613,0,51,415bd9c9-ec42-4ab0-8eff-35b0aff86264,0,8,43,83,YANKEE DIVISION HIGHWAY,INTERSTATE 95 NB CD ROAD,I95 NB,R12638,YANKEE DIVISION HIGHWAY,INTERSTATE 95 NB CD ROAD,I95 NB,R12638,METROPOLITAN AREA PLANNING COUNCIL,LEXINGTON,4,{11147629-824A-4479-A9B6-C36701565A94},,,,,156.880307, ,Y,MAPC,156.880346
614,0,29,619c7c61-f683-49ef-aee0-6cc414b6d295,0,7,22,57,WORCESTER STREET,KINGSBURY STREET,SR9 EB,N1385 NB,WORCESTER STREET,KINGSBURY STREET,SR9 EB,N1385 NB,METROPOLITAN AREA PLANNING COUNCIL,WELLESLEY,6,{39F81C73-1AFC-4292-806D-D09D87F4F683},,,,,169.043004, ,Y,MAPC,169.042985
615,0,20,b560be17-7f50-45ba-8365-f8ae1abb6a92,1,7,12,57,CENTRE STREET,CYPRESS STREET,N1500 NB,N1508 NB,CENTRE STREET,CYPRESS STREET,N1500 NB,N1508 NB,METROPOLITAN AREA PLANNING COUNCIL,NEWTON,6,{D421DA90-4220-4381-9354-6F7B7A2D9A4F},,,,,300.983757, ,Y,MAPC,300.983922
616,0,37,8161dfac-c5e9-49ab-a1db-d1e06d1855b1,0,9,28,73,BELLEVILLE AVENUE,COGGESHALL STREET,N5321,N5320,BELLEVILLE AVENUE,COGGESHALL STREET,N5321,N5320,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{7C83E916-078B-4413-B02A-92AAAD8B6103},,,,,180.344513, ,Y,SRPEDD,180.344458
